admin0_code,admin1_code,date,cases,deaths
US,01,2020-03-13,2,0
US,01,2020-03-14,6,0
US,01,2020-03-15,11,0
US,01,2020-03-16,29,0
US,01,2020-03-17,39,0
US,01,2020-03-18,51,0
US,01,2020-03-19,78,0
US,01,2020-03-20,106,0
US,01,2020-03-21,131,0
US,01,2020-03-22,157,0
US,01,2020-03-23,196,0
US,01,2020-03-24,242,0
US,01,2020-03-25,381,1
US,01,2020-03-26,517,1
US,01,2020-03-27,587,4
US,01,2020-03-28,694,4
US,01,2020-03-29,825,10
US,01,2020-03-30,899,10
US,01,2020-03-31,987,15
US,01,2020-04-01,1060,27
US,01,2020-04-02,1233,27
US,01,2020-04-03,1495,38
US,01,2020-04-04,1614,44
US,01,2020-04-05,1765,45
US,01,2020-04-06,1952,49
US,01,2020-04-07,2169,64
US,01,2020-04-08,2328,66
US,01,2020-04-09,2703,70
US,01,2020-04-10,2947,80
US,01,2020-04-11,3217,92
US,01,2020-04-12,3563,93
US,01,2020-04-13,3734,99
US,01,2020-04-14,3953,114
US,01,2020-04-15,4075,118
US,01,2020-04-16,4345,133
US,01,2020-04-17,4571,148
US,01,2020-04-18,4712,153
US,01,2020-04-19,4888,157
US,01,2020-04-20,5079,163
US,01,2020-04-21,5317,183
US,01,2020-04-22,5593,196
US,01,2020-04-23,5832,202
US,01,2020-04-24,6026,209
US,01,2020-04-25,6026,209
US,01,2020-04-26,6421,219
US,01,2020-04-27,6539,228
US,01,2020-04-28,6750,242
US,01,2020-04-29,6912,256
US,01,2020-04-30,7088,272
US,01,2020-05-01,7294,289
US,01,2020-05-02,7611,288
US,01,2020-05-03,7888,290
US,01,2020-05-04,8112,298
US,01,2020-05-05,8437,315
US,01,2020-05-06,8691,343
US,01,2020-05-07,9046,369
US,01,2020-05-08,9385,383
US,01,2020-05-09,9668,390
US,01,2020-05-10,9889,393
US,01,2020-05-11,10164,403
US,01,2020-05-12,10464,435
US,01,2020-05-13,10700,450
US,01,2020-05-14,11101,473
US,01,2020-05-15,11373,483
US,01,2020-05-16,11674,485
US,01,2020-05-17,11771,488
US,01,2020-05-18,12086,489
US,01,2020-05-19,12376,504
US,01,2020-05-20,13052,522
US,01,2020-05-21,13288,529
US,01,2020-05-22,13670,541
US,01,2020-05-23,14117,549
US,01,2020-05-24,14478,551
US,01,2020-05-25,14986,566
US,01,2020-05-26,15650,580
US,01,2020-05-27,16032,583
US,01,2020-05-28,16530,591
US,01,2020-05-29,17031,610
US,01,2020-05-30,17359,618
US,01,2020-05-31,17952,630
US,01,2020-06-01,18246,644
